Date,Daily Active Addresses
2020-08-30T00:00:00.000Z,829979
2020-08-31T00:00:00.000Z,924454
2020-09-01T00:00:00.000Z,1082542
2020-09-02T00:00:00.000Z,1027535
2020-09-03T00:00:00.000Z,980457
2020-09-04T00:00:00.000Z,1008089
2020-09-05T00:00:00.000Z,980203
2020-09-06T00:00:00.000Z,992017
2020-09-07T00:00:00.000Z,1088282
2020-09-08T00:00:00.000Z,980357
2020-09-09T00:00:00.000Z,965170
2020-09-10T00:00:00.000Z,1097739
2020-09-11T00:00:00.000Z,961916
2020-09-12T00:00:00.000Z,900119
2020-09-13T00:00:00.000Z,791793
2020-09-14T00:00:00.000Z,1023202
2020-09-15T00:00:00.000Z,969283
2020-09-16T00:00:00.000Z,1068300
2020-09-17T00:00:00.000Z,1108822
2020-09-18T00:00:00.000Z,972241
2020-09-19T00:00:00.000Z,901629
2020-09-20T00:00:00.000Z,806836
2020-09-21T00:00:00.000Z,945412
2020-09-22T00:00:00.000Z,970779
2020-09-23T00:00:00.000Z,1016914
2020-09-24T00:00:00.000Z,945652
2020-09-25T00:00:00.000Z,1148175
2020-09-26T00:00:00.000Z,951434
2020-09-27T00:00:00.000Z,786824
2020-09-28T00:00:00.000Z,872096
2020-09-29T00:00:00.000Z,1004386
2020-09-30T00:00:00.000Z,1118935
2020-10-01T00:00:00.000Z,931042
2020-10-02T00:00:00.000Z,988352
2020-10-03T00:00:00.000Z,1013419
2020-10-04T00:00:00.000Z,917216
2020-10-05T00:00:00.000Z,945310
2020-10-06T00:00:00.000Z,978442
2020-10-07T00:00:00.000Z,1065078
2020-10-08T00:00:00.000Z,1039058
2020-10-09T00:00:00.000Z,1007263
2020-10-10T00:00:00.000Z,914140
2020-10-11T00:00:00.000Z,794451
2020-10-12T00:00:00.000Z,940779
2020-10-13T00:00:00.000Z,1058048
2020-10-14T00:00:00.000Z,938251
2020-10-15T00:00:00.000Z,1040538
2020-10-16T00:00:00.000Z,988351
2020-10-17T00:00:00.000Z,847038
2020-10-18T00:00:00.000Z,730445
2020-10-19T00:00:00.000Z,932635
2020-10-20T00:00:00.000Z,1012550
2020-10-21T00:00:00.000Z,1010645
2020-10-22T00:00:00.000Z,1048148
2020-10-23T00:00:00.000Z,986601
2020-10-24T00:00:00.000Z,1097105
2020-10-25T00:00:00.000Z,853445
2020-10-26T00:00:00.000Z,824533
2020-10-27T00:00:00.000Z,827578
2020-10-28T00:00:00.000Z,818954
2020-10-29T00:00:00.000Z,890326
2020-10-30T00:00:00.000Z,897889
2020-10-31T00:00:00.000Z,882396
2020-11-01T00:00:00.000Z,891917
2020-11-02T00:00:00.000Z,778653
2020-11-03T00:00:00.000Z,1033214
2020-11-04T00:00:00.000Z,1169322
2020-11-05T00:00:00.000Z,1069914
2020-11-06T00:00:00.000Z,1084929
2020-11-07T00:00:00.000Z,1053464
2020-11-08T00:00:00.000Z,926627
2020-11-09T00:00:00.000Z,1201532
2020-11-10T00:00:00.000Z,1023184
2020-11-11T00:00:00.000Z,1017131
2020-11-12T00:00:00.000Z,1050345
2020-11-13T00:00:00.000Z,1001911
2020-11-14T00:00:00.000Z,916249
2020-11-15T00:00:00.000Z,859876
2020-11-16T00:00:00.000Z,1036970
2020-11-17T00:00:00.000Z,1134745
2020-11-18T00:00:00.000Z,1187950
2020-11-19T00:00:00.000Z,1058693
2020-11-20T00:00:00.000Z,1182433
2020-11-21T00:00:00.000Z,1018157
2020-11-22T00:00:00.000Z,866490
